Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AlxvJThZogREYTW9op,13/09/2024,16:01:42,Card payment,M&S,🛍 ,Eating out,-8.00,GBP,-8.00,GBP,,71 Crouch End Hill,,MARKS&SPENCER PLC SF   CROUCH END    GBR,,-8.00,
tx_0000AlxvgnYMAxcbVfQjTd,13/09/2024,16:05:55,Card payment,Waitrose & Partners,🍏,Groceries,-1.35,GBP,-1.35,GBP,,35-39 The Broadway,,WAITROSE               LONDON        GBR,,-1.35,
tx_0000Alxw7SfbvU0l1B8dxB,13/09/2024,16:10:44,Pot transfer,Monthly Money Pot,,Savings,200.00,GBP,200.00,GBP,,,,,,,200.00
tx_0000AlzN79SuDnqjcvlEkD,14/09/2024,08:47:55,Card payment,Lime Payoff X23q,🚗,Transport,-6.38,GBP,-6.38,GBP,,Hays Galleria 1 Hays Lane,,LIME*PAYOFF X23Q       LONDON        GBR,,-6.38,
tx_0000AlzNAJI29Mey7jLmGQ,14/09/2024,08:48:29,Card payment,Lime Pass X23q,🚗,Transport,-36.99,GBP,-36.99,GBP,,Hays Galleria 1 Hays Lane,,LIME*PASS X23Q         LONDON        GBR,,-36.99,
tx_0000AlzS2WS9pDcnurl9Jh,14/09/2024,09:43:06,Card payment,Trainline,🚄,Transport,-5.25,GBP,-5.25,GBP,,Trainline,,Trainline.Com          London        GBR,,-5.25,
tx_0000AlzVioZf8pd2yZzWmP,14/09/2024,10:24:22,Card payment,Transport for London,🚆,Transport,-2.70,GBP,-2.70,GBP,"Travel charge for Friday, 13 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-2.70,
tx_0000AlzbQI1O267C7eMezh,14/09/2024,11:28:15,Card payment,Ryman,🏫,Shopping,-0.99,GBP,-0.99,GBP,,24-28 Grays Inn Road,,RYMAN 1014             LONDON        GBR,,-0.99,
tx_0000Alzc36RT1DLSUMOtNq,14/09/2024,11:35:16,Card payment,VOXI,📱 ,Bills,-10.00,GBP,-10.00,GBP,,,,WWW.VOXI.CO.UK         NEWBURY       GBR,,-10.00,
tx_0000AlzcoZuHHr9susiBmr,14/09/2024,11:43:51,Card payment,Lime Pass Fzy2,🚗,Transport,-36.99,GBP,-36.99,GBP,,Hays Galleria 1 Hays Lane,,LIME*PASS FZY2         LONDON        GBR,,-36.99,
tx_0000AlzfZSBxzIQKUi5C89,14/09/2024,12:14:43,Card payment,Shell,🐚⛽,Transport,-1.49,GBP,-1.49,GBP,,Grosvenor Road,,SHELL Grosvenor Road   London        GBR,,-1.49,
tx_0000AlzoRBvTTncImdKEd7,14/09/2024,13:54:05,Card payment,Buccleuch Gardens Cafe,🍴,Eating out,-2.00,GBP,-2.00,GBP,,146 Petersham Road,,BUCCLEUCH GARDENS CAFE RICHMOND      GBR,,-2.00,
tx_0000AlzwpYPQL5A87t2YrZ,14/09/2024,15:28:07,Card payment,Waitrose & Partners,🍏,Groceries,-13.13,GBP,-13.13,GBP,,292 Upper Richmond Rd W,,WAITROSE               LONDON        GBR,,-13.13,
tx_0000Am0Zv1o8MLpnmpVF7R,14/09/2024,22:46:06,Pot transfer,Monthly Money Pot,,Savings,140.00,GBP,140.00,GBP,,,,,,,140.00
tx_0000Am0nFwRomWZ8tM2BvN,15/09/2024,01:15:33,Card payment,Transport for London,🚆,Transport,-10.00,GBP,-10.00,GBP,"Travel charge for Saturday, 14 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-10.00,
tx_0000Am0vzeJxJAcKR1G5iL,15/09/2024,02:53:27,Card payment,Transport for London,🚆,Transport,-7.90,GBP,-7.90,GBP,"Travel charge for Saturday, 14 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-7.90,
